Device info: 
    Name                          : 	Intel RealSense D435I
    Serial Number                 : 	938422076303
    Firmware Version              : 	5.15.0.2
    Recommended Firmware Version  : 	5.15.0.2
    Physical Port                 : 	/sys/devices/pci0000:00/0000:00:01.2/0000:02:00.0/usb2/2-3/2-3:1.0/video4linux/video2
    Debug Op Code                 : 	15
    Advanced Mode                 : 	YES
    Product Id                    : 	0B3A
    Camera Locked                 : 	YES
    Usb Type Descriptor           : 	3.2
    Product Line                  : 	D400
    Asic Serial Number            : 	926623050310
    Firmware Update Id            : 	926623050310

Stream Profiles supported by Stereo Module
 Supported modes:
    stream       resolution      fps       format   
    Infrared 1	  1280x800	@ 30Hz	   Y8
  FOV (deg):  	90.03 x 59.05

 Intrinsic of "Infrared 2" / 1280x720 / {Y8}
  Width:      	1280
  Height:     	720
  PPX:        	642.165771484375
  PPY:        	354.564331054688
  Fx:         	639.683349609375
  Fy:         	639.683349609375
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Infrared 2" / 1280x800 / {Y8}
  Width:      	1280
  Height:     	800
  PPX:        	642.165771484375
  PPY:        	394.564331054688
  Fx:         	639.683349609375
  Fy:         	639.683349609375
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 64.03

Motion Intrinsic Parameters:

Motion Intrinsic of "Gyro"	  MOTION_XYZ32F
Bias Variances: 	0.000000000000000  0.000000000000000  0.000000000000000  
Noise Variances: 	0.000000000000000  0.000000000000000  0.000000000000000  
Sensitivity : 
     1.000000       0.000000       0.000000      -0.000069  
     0.000000       1.000000       0.000000      -0.000085  
     0.000000       0.000000       1.000000      -0.000015  


Motion Intrinsic of "Accel"	  MOTION_XYZ32F
Bias Variances: 	0.000000000000000  0.000000000000000  0.000000000000000  
Noise Variances: 	0.000000000000000  0.000000000000000  0.000000000000000  
Sensitivity : 
     1.026694      -0.013139      -0.000129      -0.122075  
     0.020402       1.021042      -0.041404       0.162560  
     0.005875       0.043643       1.006769       0.150571  



Extrinsic Parameters:
Extrinsic from "Depth"	  To	  "Depth" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Depth"	  To	  "Color" :
 Rotation Matrix:
   0.99982          0.0182547        0.00521857    
  -0.0182514        0.999833        -0.000682113   
  -0.00523015       0.000586744      0.999986      

 Translation Vector: 0.0145984515547752  -6.38468700344674e-05  0.000228941236855462  

Extrinsic from "Depth"	  To	  "Infrared 1" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Depth"	  To	  "Infrared 2" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: -0.05014843121171  0  0  

Extrinsic from "Depth"	  To	  "Gyro" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: -0.00552000012248755  0.00510000018402934  0.011739999987185  

Extrinsic from "Depth"	  To	  "Accel" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: -0.00552000012248755  0.00510000018402934  0.011739999987185  

Extrinsic from "Color"	  To	  "Depth" :
 Rotation Matrix:
   0.99982         -0.0182514       -0.00523015    
   0.0182547        0.999833         0.000586744   
   0.00521857      -0.000682113      0.999986      

 Translation Vector: -0.0145957879722118  -0.000202788316528313  -0.000305164663586766  

Extrinsic from "Color"	  To	  "Color" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Color"	  To	  "Infrared 1" :
 Rotation Matrix:
   0.99982         -0.0182514       -0.00523015    
   0.0182547        0.999833         0.000586744   
   0.00521857      -0.000682113      0.999986      

 Translation Vector: -0.0145957879722118  -0.000202788316528313  -0.000305164663586766  

Extrinsic from "Color"	  To	  "Infrared 2" :
 Rotation Matrix:
   0.99982         -0.0182514       -0.00523015    
   0.0182547        0.999833         0.000586744   
   0.00521857      -0.000682113      0.999986      

 Translation Vector: -0.0647442191839218  -0.000202788316528313  -0.000305164663586766  

Extrinsic from "Color"	  To	  "Gyro" :
 Rotation Matrix:
   0.99982         -0.0182514       -0.00523015    
   0.0182547        0.999833         0.000586744   
   0.00521857      -0.000682113      0.999986      

 Translation Vector: -0.020115789026022  0.00489721167832613  0.0114348353818059  

Extrinsic from "Color"	  To	  "Accel" :
 Rotation Matrix:
   0.99982         -0.0182514       -0.00523015    
   0.0182547        0.999833         0.000586744   
   0.00521857      -0.000682113      0.999986      

 Translation Vector: -0.020115789026022  0.00489721167832613  0.0114348353818059  

Extrinsic from "Infrared 1"	  To	  "Depth" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Infrared 1"	  To	  "Color" :
 Rotation Matrix:
   0.99982          0.0182547        0.00521857    
  -0.0182514        0.999833        -0.000682113   
  -0.00523015       0.000586744      0.999986      

 Translation Vector: 0.0145984515547752  -6.38468700344674e-05  0.000228941236855462  

Extrinsic from "Infrared 1"	  To	  "Infrared 1" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Infrared 1"	  To	  "Infrared 2" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: -0.05014843121171  0  0  

Extrinsic from "Infrared 1"	  To	  "Gyro" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: -0.00552000012248755  0.00510000018402934  0.011739999987185  

Extrinsic from "Infrared 1"	  To	  "Accel" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: -0.00552000012248755  0.00510000018402934  0.011739999987185  

Extrinsic from "Infrared 2"	  To	  "Depth" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0.05014843121171  0  0  

Extrinsic from "Infrared 2"	  To	  "Color" :
 Rotation Matrix:
   0.99982          0.0182547        0.00521857    
  -0.0182514        0.999833        -0.000682113   
  -0.00523015       0.000586744      0.999986      

 Translation Vector: 0.0647378414869308  -0.000979124684818089  -3.33426869474351e-05  

Extrinsic from "Infrared 2"	  To	  "Infrared 1" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0.05014843121171  0  0  

Extrinsic from "Infrared 2"	  To	  "Infrared 2" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Infrared 2"	  To	  "Gyro" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0.0446284301578999  0.00510000018402934  0.011739999987185  

Extrinsic from "Infrared 2"	  To	  "Accel" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0.0446284301578999  0.00510000018402934  0.011739999987185  

Extrinsic from "Gyro"	  To	  "Depth" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0.00552000012248755  -0.00510000018402934  -0.011739999987185  

Extrinsic from "Gyro"	  To	  "Color" :
 Rotation Matrix:
   0.99982          0.0182547        0.00521857    
  -0.0182514        0.999833        -0.000682113   
  -0.00523015       0.000586744      0.999986      

 Translation Vector: 0.0199630912393332  -0.00525573594495654  -0.0115427589043975  

Extrinsic from "Gyro"	  To	  "Infrared 1" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0.00552000012248755  -0.00510000018402934  -0.011739999987185  

Extrinsic from "Gyro"	  To	  "Infrared 2" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: -0.0446284301578999  -0.00510000018402934  -0.011739999987185  

Extrinsic from "Gyro"	  To	  "Gyro" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Gyro"	  To	  "Accel" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Accel"	  To	  "Depth" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0.00552000012248755  -0.00510000018402934  -0.011739999987185  

Extrinsic from "Accel"	  To	  "Color" :
 Rotation Matrix:
   0.99982          0.0182547        0.00521857    
  -0.0182514        0.999833        -0.000682113   
  -0.00523015       0.000586744      0.999986      

 Translation Vector: 0.0199630912393332  -0.00525573594495654  -0.0115427589043975  

Extrinsic from "Accel"	  To	  "Infrared 1" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0.00552000012248755  -0.00510000018402934  -0.011739999987185  

Extrinsic from "Accel"	  To	  "Infrared 2" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: -0.0446284301578999  -0.00510000018402934  -0.011739999987185  

Extrinsic from "Accel"	  To	  "Gyro" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

Extrinsic from "Accel"	  To	  "Accel" :
 Rotation Matrix:
   1   0   0
   0   1   0
   0   0   1

 Translation Vector: 0  0  0  

